,label,area,aspect_ratio,perimeter_skimage,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,perimeter_on_border,perimeter_on_border_ratio,filename
0,1,1031,2.757047134912609,148.22539674441617,60.62421847807529,21.98882192124616,0.5896893527734451,0.9172597864768685,0.931903272776764,0.3571712369439772,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
1,2,716,3.827640421484849,173.57463914933368,61.27064580404692,16.007419469219194,0.2986416278599896,0.8374269005847953,0.9652691266913512,0.242838882207961,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
2,3,2629,1.150955210490173,304.4629867976521,70.56761387523206,61.31221548158982,0.3563948691680734,0.7388982574480045,0.4950867622857789,0.6721865824487687,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
3,4,51,1.7841451208985288,25.65685424949238,10.909530433916643,6.114710236363733,0.973583547037986,0.9807692307692308,0.8281594845157472,0.5455922321037713,10.0,0.3702916468685555,img01_20220429_ET358_56hpf_1.tif
4,5,61,2.1830185972350566,33.520815280171306,14.39488455845624,6.594027452028285,0.6821981751872706,0.7261904761904762,0.8889102999225813,0.3748207116883975,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
5,6,2241,2.0352317066588936,205.4446968344225,76.99104320555823,37.82912921101714,0.6672089295930894,0.9203285420944558,0.870965290118536,0.4813617381832308,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
6,7,895,1.4743215239875582,115.39696961967,41.08505459210685,27.86709270918408,0.8445864137535779,0.965480043149946,0.7348052946010113,0.6750958172250102,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
7,8,736,1.112342396166586,126.81118318204308,34.195865313940786,30.742211599403568,0.5751386703617541,0.832579185520362,0.4379409023456079,0.8013841290440702,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
8,9,122,1.154275174790669,40.55634918610404,13.506631762877245,11.70139673611772,0.932077420675863,0.9242424242424242,0.4994468250106266,0.8514827026723281,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
9,10,60,2.0121906598466843,33.798989873223334,13.130205831769166,6.52532888348145,0.6600147972889556,0.8450704225352113,0.8677672642613853,0.4431168864145947,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
10,11,2954,2.515449103280265,382.88939366884495,108.5679005759665,43.160444166566045,0.253205819256018,0.8022813688212928,0.9175834048575902,0.319093332812009,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
11,1,2145,1.311893620399578,319.8061325481597,65.0305254618548,49.56996851775811,0.263550342927292,0.7973977695167286,0.647274576063606,0.6458072091026714,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
12,2,1755,2.013137287289046,252.10764773832477,77.28507229864516,38.390363531897854,0.3469883903297869,0.7503206498503634,0.8679010557786346,0.3741071463617307,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
13,3,164,1.5372138207687749,51.45584412271571,18.15506068615933,11.81036784920384,0.7783667898545522,0.8913043478260869,0.759482624198555,0.6335174134158759,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
14,4,438,1.2382396740658603,78.18376618407356,26.376049071371344,21.301246942575705,0.9004317508264797,0.9563318777292577,0.5897332612873618,0.8016129875100114,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
15,5,1994,1.9123419933631849,222.7228714274745,72.17808245734318,37.7432921035246,0.5051325839329687,0.8385197645079899,0.8523823667285562,0.4873316216523125,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
16,6,182,1.632943654296378,53.21320343559643,19.560479866129,11.978661856864528,0.8076857924485777,0.9238578680203046,0.7905550336109065,0.6056510812005432,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
17,7,184,2.065292539084049,55.698484809834994,22.25904597964192,10.777672198202849,0.7453168245460452,0.9019607843137256,0.8749612722948952,0.4728406966055826,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
18,8,625,2.8957862448757705,143.5035713374682,51.44982577316857,17.767135217321876,0.3813857504006559,0.758495145631068,0.9384815585080092,0.3006230793870535,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
19,9,183,1.802091341376518,79.11269837220809,25.1347215296481,13.947529158232944,0.3674248778179257,0.6559139784946236,0.8319098340370292,0.368818801615712,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
20,10,457,2.318590902963279,91.59797974644664,36.93757414600136,15.931044195331408,0.6844697728619832,0.9232323232323232,0.9022102757593576,0.426471072856367,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
21,11,72,1.3245789756285562,29.556349186104043,11.042301536772165,8.33646142656932,1.035716232528903,0.96,0.6557744441494436,0.7518365074132948,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
22,12,1751,2.6832616863227456,293.770598642227,86.67035771427348,32.300374635859754,0.2549642874571091,0.7403805496828753,0.927959617863998,0.2967939792779198,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
23,13,223,1.7028460598902195,87.70458146424488,24.08220399347261,14.142325933458228,0.3643092230995699,0.7585034013605442,0.8094040518014055,0.489578705836909,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
24,14,2723,3.536090148859597,271.86500705120545,112.43843781905444,31.797390079355385,0.4629679029669546,0.8881278538812786,0.959179423643962,0.274238328939758,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
25,15,191,2.439868896998243,60.2842712474619,24.87418696497489,10.194886698862163,0.6604427859749001,0.8603603603603603,0.9121493014132372,0.3930480963411273,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
26,1,846,6.160640136129863,179.0538238691624,85.33569306736504,13.851757476776308,0.3315988583030247,0.7988668555240793,0.9867380400862532,0.1479173241004292,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
27,2,1162,4.5490521224160965,191.0538238691624,85.08460344698186,18.703809311771888,0.4000410176366575,0.866517524235645,0.9755390935983516,0.2043686558336797,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
28,3,90,1.6378315669942152,47.45584412271571,14.79912250599464,9.035802462370606,0.5021956745686778,0.7563025210084033,0.7919673870582815,0.5232156160192717,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
29,4,1428,3.063289986981444,185.9238815542512,75.64067559176026,24.69262652678088,0.5191199462945202,0.9032258064516128,0.9452157137161804,0.3177807076475325,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
30,5,2097,1.0934640333114198,173.53910524340094,54.37563084697109,49.72786410020388,0.8750111489809784,0.9748953974895398,0.4045297895841535,0.9030253290426368,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
