,label,area,max_intensity,mean_intensity,min_intensity,median,sum,variance,filename
0,1,1031,6.7,2.4125121241513097,0.0,2.3009766340255737,2487.299999999995,1.715425819027646,img01_20220429_ET358_56hpf_1.tif
1,2,716,3.0,1.067877094972067,0.0,0.9861328303813934,764.5999999999993,0.2657918506074976,img01_20220429_ET358_56hpf_1.tif
2,3,2629,11.0,2.7582731076454925,0.0,2.181445360183716,7251.500000000002,3.731876925383793,img01_20220429_ET358_56hpf_1.tif
3,4,51,2.6,1.23921568627451,0.2,1.2251953482627869,63.2,0.3096313725490194,img01_20220429_ET358_56hpf_1.tif
4,5,61,2.6,0.9295081967213116,0.1,0.806835949420929,56.70000000000002,0.2244480874316933,img01_20220429_ET358_56hpf_1.tif
5,6,2241,11.8,4.143418116912093,0.0,4.273242235183716,9285.39999999999,5.129368489832372,img01_20220429_ET358_56hpf_1.tif
6,7,895,8.3,3.069832402234637,0.0,2.8986328840255737,2747.5000000000023,3.161997175458956,img01_20220429_ET358_56hpf_1.tif
7,8,736,6.9,2.0634510869565217,0.0,1.703320324420929,1518.6999999999994,1.7781861690328338,img01_20220429_ET358_56hpf_1.tif
8,9,122,4.2,1.3778688524590164,0.2,1.2849609851837158,168.10000000000002,0.535125999187102,img01_20220429_ET358_56hpf_1.tif
9,10,60,1.9,0.8516666666666667,0.1,0.806835949420929,51.1,0.1611836158192092,img01_20220429_ET358_56hpf_1.tif
10,11,2954,15.3,2.459749492213948,0.0,1.882617235183716,7266.100000000005,3.9498354942851943,img01_20220429_ET358_56hpf_1.tif
11,1,2145,7.444444444444445,1.9708365708365707,0.0,1.6458333730697632,4227.444444444448,1.6150107616110754,img02_20220429_ET358_56hpf_2.tif
12,2,1755,10.666666666666666,2.311047799936689,0.0,1.8958333730697632,4055.888888888886,2.719451830948657,img02_20220429_ET358_56hpf_2.tif
13,3,164,3.4444444444444446,1.1368563685636857,0.1111111111111111,1.1041666865348816,186.44444444444457,0.3934859593994703,img02_20220429_ET358_56hpf_2.tif
14,4,438,9.0,2.9992389649923896,0.0,2.895833373069763,1313.666666666667,3.3069180849239914,img02_20220429_ET358_56hpf_2.tif
15,5,1994,8.777777777777779,1.9003120472528692,0.0,1.5625000596046448,3789.22222222222,1.462426667861069,img02_20220429_ET358_56hpf_2.tif
16,6,182,5.555555555555555,1.9328449328449324,0.0,1.7708333730697632,351.77777777777777,1.5196450776561292,img02_20220429_ET358_56hpf_2.tif
17,7,184,3.6666666666666665,1.339371980676329,0.0,1.2291666865348816,246.4444444444445,0.4921713905241255,img02_20220429_ET358_56hpf_2.tif
18,8,625,5.0,1.1726222222222222,0.0,1.0208333730697632,732.8888888888894,0.4277946818613496,img02_20220429_ET358_56hpf_2.tif
19,9,183,3.111111111111111,1.0461445051608986,0.0,1.0208333730697632,191.44444444444437,0.3016169555331667,img02_20220429_ET358_56hpf_2.tif
20,10,457,4.777777777777778,1.7345003646973014,0.0,1.5625000596046448,792.6666666666669,1.0294744851701525,img02_20220429_ET358_56hpf_2.tif
21,11,72,2.6666666666666665,1.1496913580246912,0.2222222222222222,1.0208333730697632,82.77777777777774,0.3860753685349417,img02_20220429_ET358_56hpf_2.tif
22,12,1751,8.444444444444445,1.9359730947395135,0.0,1.5625000596046448,3389.8888888888896,2.025464350429125,img02_20220429_ET358_56hpf_2.tif
23,13,223,3.0,1.0079720976581965,0.0,1.0208333730697632,224.7777777777777,0.2826633309941737,img02_20220429_ET358_56hpf_2.tif
24,14,2723,7.0,2.3780960541885987,0.0,2.2291667461395264,6475.555555555554,1.5982667866628557,img02_20220429_ET358_56hpf_2.tif
25,15,191,3.7777777777777777,1.3019197207678883,0.0,1.2291666865348816,248.66666666666688,0.5041411945609591,img02_20220429_ET358_56hpf_2.tif
26,1,846,2.9166666666666665,1.302469135802469,0.3333333333333333,1.2589518427848816,1101.8888888888885,0.2386821129698624,img03_20220429_ET358_56hpf_3.tif
27,2,1162,4.611111111111111,1.6811770893096192,0.3333333333333333,1.5356445908546448,1953.527777777775,0.7059008293220763,img03_20220429_ET358_56hpf_3.tif
28,3,90,1.3333333333333333,0.7932098765432097,0.3611111111111111,0.7885742485523224,71.38888888888889,0.0347328185447204,img03_20220429_ET358_56hpf_3.tif
29,4,1428,2.2222222222222223,1.074910519763461,0.3055555555555556,1.0375977158546448,1534.9722222222226,0.1071312654007752,img03_20220429_ET358_56hpf_3.tif
30,5,2097,5.638888888888889,2.78862660944206,0.3611111111111111,2.974446654319763,5847.750000000001,1.058031293088818,img03_20220429_ET358_56hpf_3.tif
31,6,1071,2.833333333333333,1.3456271397447868,0.2777777777777778,1.3419596552848816,1441.1666666666674,0.1934696394999657,img03_20220429_ET358_56hpf_3.tif
32,7,2292,7.083333333333333,2.347282819468683,0.1666666666666666,1.8953450918197632,5379.972222222215,2.4762594199432386,img03_20220429_ET358_56hpf_3.tif
33,8,295,2.25,1.0203389830508474,0.3888888888888889,1.0099284052848816,301.0000000000001,0.0919937958443458,img03_20220429_ET358_56hpf_3.tif
34,9,116,1.75,0.8383620689655173,0.3333333333333333,0.7885742485523224,97.25000000000006,0.0593612337349836,img03_20220429_ET358_56hpf_3.tif
35,10,152,2.305555555555556,1.0718201754385963,0.3888888888888889,1.0652669668197632,162.9166666666668,0.1247592600660943,img03_20220429_ET358_56hpf_3.tif
36,11,59,1.4444444444444444,0.8954802259887005,0.3888888888888889,0.8715820610523224,52.83333333333333,0.0726197047427322,img03_20220429_ET358_56hpf_3.tif
