,label,aspect_ratio,perimeter_skimage,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,perimeter_on_border,perimeter_on_border_ratio,max_intensity,mean_intensity,min_intensity,median,sum,variance,filename
0,1,2.757047134912609,148.22539674441617,60.62421847807529,21.98882192124616,0.5896893527734451,0.9172597864768685,0.931903272776764,0.3571712369439772,0.0,0.0,6.7,2.4125121241513097,0.0,2.3009766340255737,2487.299999999995,1.715425819027646,img01_20220429_ET358_56hpf_1.tif
1,2,3.827640421484849,173.57463914933368,61.27064580404692,16.007419469219194,0.2986416278599896,0.8374269005847953,0.9652691266913512,0.242838882207961,0.0,0.0,3.0,1.067877094972067,0.0,0.9861328303813934,764.5999999999993,0.2657918506074976,img01_20220429_ET358_56hpf_1.tif
2,3,1.150955210490173,304.4629867976521,70.56761387523206,61.31221548158982,0.3563948691680734,0.7388982574480045,0.4950867622857789,0.6721865824487687,0.0,0.0,11.0,2.7582731076454925,0.0,2.181445360183716,7251.500000000002,3.731876925383793,img01_20220429_ET358_56hpf_1.tif
3,4,1.7841451208985288,25.65685424949238,10.909530433916643,6.114710236363733,0.973583547037986,0.9807692307692308,0.8281594845157472,0.5455922321037713,10.0,0.3702916468685555,2.6,1.23921568627451,0.2,1.2251953482627869,63.2,0.3096313725490194,img01_20220429_ET358_56hpf_1.tif
4,5,2.1830185972350566,33.520815280171306,14.39488455845624,6.594027452028285,0.6821981751872706,0.7261904761904762,0.8889102999225813,0.3748207116883975,0.0,0.0,2.6,0.9295081967213116,0.1,0.806835949420929,56.70000000000002,0.2244480874316933,img01_20220429_ET358_56hpf_1.tif
5,6,2.0352317066588936,205.4446968344225,76.99104320555823,37.82912921101714,0.6672089295930894,0.9203285420944558,0.870965290118536,0.4813617381832308,0.0,0.0,11.8,4.143418116912093,0.0,4.273242235183716,9285.39999999999,5.129368489832372,img01_20220429_ET358_56hpf_1.tif
6,7,1.4743215239875582,115.39696961967,41.08505459210685,27.86709270918408,0.8445864137535779,0.965480043149946,0.7348052946010113,0.6750958172250102,0.0,0.0,8.3,3.069832402234637,0.0,2.8986328840255737,2747.5000000000023,3.161997175458956,img01_20220429_ET358_56hpf_1.tif
7,8,1.112342396166586,126.81118318204308,34.195865313940786,30.742211599403568,0.5751386703617541,0.832579185520362,0.4379409023456079,0.8013841290440702,0.0,0.0,6.9,2.0634510869565217,0.0,1.703320324420929,1518.6999999999994,1.7781861690328338,img01_20220429_ET358_56hpf_1.tif
8,9,1.154275174790669,40.55634918610404,13.506631762877245,11.70139673611772,0.932077420675863,0.9242424242424242,0.4994468250106266,0.8514827026723281,0.0,0.0,4.2,1.3778688524590164,0.2,1.2849609851837158,168.10000000000002,0.535125999187102,img01_20220429_ET358_56hpf_1.tif
9,10,2.0121906598466843,33.798989873223334,13.130205831769166,6.52532888348145,0.6600147972889556,0.8450704225352113,0.8677672642613853,0.4431168864145947,0.0,0.0,1.9,0.8516666666666667,0.1,0.806835949420929,51.1,0.1611836158192092,img01_20220429_ET358_56hpf_1.tif
10,11,2.515449103280265,382.88939366884495,108.5679005759665,43.160444166566045,0.253205819256018,0.8022813688212928,0.9175834048575902,0.319093332812009,0.0,0.0,15.3,2.459749492213948,0.0,1.882617235183716,7266.100000000005,3.9498354942851943,img01_20220429_ET358_56hpf_1.tif
11,1,1.311893620399578,319.8061325481597,65.0305254618548,49.56996851775811,0.263550342927292,0.7973977695167286,0.647274576063606,0.6458072091026714,0.0,0.0,7.444444444444445,1.9708365708365707,0.0,1.6458333730697632,4227.444444444448,1.6150107616110754,img02_20220429_ET358_56hpf_2.tif
12,2,2.013137287289046,252.10764773832477,77.28507229864516,38.390363531897854,0.3469883903297869,0.7503206498503634,0.8679010557786346,0.3741071463617307,0.0,0.0,10.666666666666666,2.311047799936689,0.0,1.8958333730697632,4055.888888888886,2.719451830948657,img02_20220429_ET358_56hpf_2.tif
13,3,1.5372138207687749,51.45584412271571,18.15506068615933,11.81036784920384,0.7783667898545522,0.8913043478260869,0.759482624198555,0.6335174134158759,0.0,0.0,3.4444444444444446,1.1368563685636857,0.1111111111111111,1.1041666865348816,186.44444444444457,0.3934859593994703,img02_20220429_ET358_56hpf_2.tif
14,4,1.2382396740658603,78.18376618407356,26.376049071371344,21.301246942575705,0.9004317508264797,0.9563318777292577,0.5897332612873618,0.8016129875100114,0.0,0.0,9.0,2.9992389649923896,0.0,2.895833373069763,1313.666666666667,3.3069180849239914,img02_20220429_ET358_56hpf_2.tif
15,5,1.9123419933631849,222.7228714274745,72.17808245734318,37.7432921035246,0.5051325839329687,0.8385197645079899,0.8523823667285562,0.4873316216523125,0.0,0.0,8.777777777777779,1.9003120472528692,0.0,1.5625000596046448,3789.22222222222,1.462426667861069,img02_20220429_ET358_56hpf_2.tif
16,6,1.632943654296378,53.21320343559643,19.560479866129,11.978661856864528,0.8076857924485777,0.9238578680203046,0.7905550336109065,0.6056510812005432,0.0,0.0,5.555555555555555,1.9328449328449324,0.0,1.7708333730697632,351.77777777777777,1.5196450776561292,img02_20220429_ET358_56hpf_2.tif
17,7,2.065292539084049,55.698484809834994,22.25904597964192,10.777672198202849,0.7453168245460452,0.9019607843137256,0.8749612722948952,0.4728406966055826,0.0,0.0,3.6666666666666665,1.339371980676329,0.0,1.2291666865348816,246.4444444444445,0.4921713905241255,img02_20220429_ET358_56hpf_2.tif
