,label,area,bbox_area,convex_area,equivalent_diameter,max_intensity,mean_intensity,min_intensity,perimeter_skimage,perimeter_crofton,solidity,feret_diameter_max,major_axis_length,minor_axis_length,eccentricity,standard_deviation_intensity,aspect_ratio,roundness_skimage,circularity,maximum,mean,median,minimum,sigma,sum,variance,elongation,feret_diameter,flatness,roundness_simpleitk,equivalent_ellipsoid_diameter_0,equivalent_ellipsoid_diameter_1,equivalent_spherical_perimeter,equivalent_spherical_radius,number_of_pixels,number_of_pixels_on_border,perimeter_simpleitk,perimeter_on_border,perimeter_on_border_ratio,filename
0,1,1031,1416,1124,36.23133961947795,6.7,2.4125121241513097,0.0,148.22539674441617,143.20800502198594,0.9172597864768683,59.53990258641679,60.62421847807529,21.988821921246156,0.9319032727767639,1.3091073189209594,2.757047134912609,0.3571712369439772,0.5896893527734451,6.7,2.412512124151305,2.3009766340255737,0.0,1.3097426537406673,2487.299999999995,1.715425819027646,2.757047134915704,58.42088667591412,2.757047134915704,0.7948166749532887,21.82037934542641,60.159814357081686,113.82411037826873,18.115669809738975,1031,0,143.20800502198594,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
1,2,716,1134,855,30.19336870954244,3.0,1.067877094972067,0.0,173.57463914933368,170.11846041034528,0.8374269005847953,63.071388124885914,61.27064580404692,16.007419469219194,0.9652691266913512,0.5151898998806623,3.8276404214848485,0.24283888220796107,0.2986416278599896,3.0,1.0678770949720662,0.9861328303813934,0.0,0.515550046656479,764.5999999999993,0.2657918506074976,3.827640421485786,62.07253821135398,3.827640421485786,0.5575836102456174,15.43284535436927,59.071382696922946,94.85526532502647,15.09668435477122,716,0,170.11846041034528,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
2,3,2629,5313,3558,57.85625949807629,11.0,2.7582731076454925,0.0,304.46298679765215,291.9532654338527,0.7388982574480045,78.08969202141856,70.56761387523206,61.31221548158982,0.4950867622857789,1.93143920977025,1.150955210490173,0.6721865824487687,0.35639486916807345,11.0,2.7582731076454934,2.181445360183716,0.0,1.9318066480328182,7251.500000000002,3.7318769253837925,1.1509552104901795,76.94153624668537,1.1509552104901795,0.6225681344349353,53.92884768680469,62.069688240859115,181.76079980334114,28.928129749038145,2629,0,291.95326543385266,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
3,4,51,60,52,8.058239062071396,2.6,1.23921568627451,0.2,25.65685424949238,27.005740163373865,0.9807692307692307,10.770329614269007,10.909530433916643,6.114710236363733,0.8281594845157472,0.5509629471803938,1.7841451208985288,0.5455922321037713,0.973583547037986,2.6,1.2392156862745096,1.2251953482627869,0.2,0.5564453005902911,63.199999999999996,0.3096313725490194,1.7841451208954222,9.848857801796104,1.7841451208954222,0.9374193962144335,6.03288517028222,10.76354264148137,25.3157046382738,4.029119531035698,51,10,27.00574016337386,10.0,0.3702916468685555,img01_20220429_ET358_56hpf_1.tif
4,5,61,112,84,8.812923024107548,2.6,0.9295081967213116,0.1,33.520815280171306,39.07256693937906,0.7261904761904762,14.560219778561036,14.39488455845624,6.594027452028285,0.8889102999225813,0.4698602032398057,2.1830185972350566,0.3748207116883975,0.6821981751872706,2.6,0.9295081967213119,0.806835949420929,0.1,0.473759524898121,56.700000000000024,0.22444808743169334,2.1830185972207317,13.341664064126334,2.1830185972207317,0.7085947097395544,5.964736447370322,13.021130592129733,27.686614229188613,4.406461512053774,61,0,39.07256693937906,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
5,6,2241,3657,2435,53.41656877553537,11.8,4.143418116912093,0.0,205.4446968344225,198.04435175822977,0.9203285420944558,74.32361670424818,76.99104320555823,37.82912921101714,0.870965290118536,2.2643055480663863,2.0352317066588936,0.4813617381832308,0.6672089295930894,11.8,4.1434181169120885,4.273242235183716,0.0,2.264810917015452,9285.39999999999,5.129368489832372,2.0352317066591805,73.06161783043132,2.0352317066591805,0.8473511037066087,37.44286375796644,76.20490350833323,167.81310004519585,26.708284387767684,2241,0,198.04435175822977,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
6,7,895,1209,927,33.757212452126,8.3,3.069832402234637,0.0,115.39696961966999,112.08470449159586,0.9654800431499461,42.5440947723653,41.08505459210685,27.86709270918408,0.7348052946010113,1.7772068584498106,1.4743215239875582,0.6750958172250102,0.8445864137535779,8.3,3.0698324022346393,2.8986328840255737,0.0,1.7782005442184963,2747.5000000000023,3.161997175458956,1.4743215239872607,41.23105625617661,1.4743215239872607,0.946172014516224,27.801643750320636,40.988561783323625,106.05141064526892,16.878606226063,895,0,112.08470449159586,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
7,8,736,1260,884,30.612159429303247,6.9,2.0634510869565217,0.0,126.81118318204308,123.69145567534574,0.832579185520362,37.0,34.195865313940786,30.742211599403568,0.4379409023456079,1.3325802622041982,1.1123423961665861,0.8013841290440702,0.5751386703617541,6.9,2.063451086956521,1.703320324420929,0.0,1.33348647125977,1518.6999999999994,1.7781861690328338,1.1123423961665921,35.77708763999664,1.1123423961665921,0.7775066971969306,29.025166606531407,32.285923372243694,96.1709351736186,15.306079714651624,736,0,123.69145567534575,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
8,9,122,156,132,12.463355264843006,4.2,1.3778688524590164,0.2,40.55634918610404,41.52404620458589,0.9242424242424242,14.317821063276353,13.506631762877245,11.701396736117719,0.4994468250106266,0.7285188539119908,1.154275174790669,0.8514827026723281,0.932077420675863,4.2,1.3778688524590166,1.2849609851837158,0.2,0.7315230681168585,168.10000000000002,0.535125999187102,1.1542751747899644,13.038404810405298,1.1542751747899644,0.9429424374059729,11.600595855650456,13.390279808948668,39.15478533911046,6.231677632421503,122,0,41.52404620458589,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
9,10,60,110,71,8.740387444736633,1.9,0.8516666666666667,0.1,33.798989873223334,34.72496877623519,0.8450704225352113,13.601470508735444,13.130205831769166,6.52532888348145,0.8677672642613853,0.39811709611899637,2.0121906598466843,0.4431168864145947,0.6600147972889556,1.9,0.8516666666666667,0.806835949420929,0.1,0.401476793624749,51.1,0.16118361581920929,2.0121906598327275,12.806248474865697,2.0121906598327275,0.7907490763448887,6.161637155297514,12.398388733167957,27.458736985913074,4.370193722368317,60,0,34.72496877623519,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
