,Unnamed: 0,label,aspect_ratio,perimeter_skimage,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,perimeter_on_border,perimeter_on_border_ratio,max_intensity,mean_intensity,min_intensity,median,sum,variance,filename,annotated_class,predicted_class
0,0,1,2.757047134912609,148.22539674441617,60.62421847807529,21.98882192124616,0.5896893527734451,0.9172597864768685,0.931903272776764,0.3571712369439772,0.0,0.0,6.7,2.4125121241513097,0.0,2.3009766340255737,2487.299999999995,1.715425819027646,img01_20220429_ET358_56hpf_1.tif,2.0,2
5,5,6,2.0352317066588936,205.4446968344225,76.99104320555823,37.82912921101714,0.6672089295930894,0.9203285420944558,0.870965290118536,0.4813617381832308,0.0,0.0,11.8,4.143418116912093,0.0,4.273242235183716,9285.39999999999,5.129368489832372,img01_20220429_ET358_56hpf_1.tif,2.0,2
6,6,7,1.4743215239875582,115.39696961967,41.08505459210685,27.86709270918408,0.8445864137535779,0.965480043149946,0.7348052946010113,0.6750958172250102,0.0,0.0,8.3,3.069832402234637,0.0,2.8986328840255737,2747.5000000000023,3.161997175458956,img01_20220429_ET358_56hpf_1.tif,2.0,2
8,8,9,1.154275174790669,40.55634918610404,13.506631762877245,11.70139673611772,0.932077420675863,0.9242424242424242,0.4994468250106266,0.8514827026723281,0.0,0.0,4.2,1.3778688524590164,0.2,1.2849609851837158,168.10000000000002,0.535125999187102,img01_20220429_ET358_56hpf_1.tif,0.0,2
14,14,4,1.2382396740658603,78.18376618407356,26.376049071371344,21.301246942575705,0.9004317508264797,0.9563318777292577,0.5897332612873618,0.8016129875100114,0.0,0.0,9.0,2.9992389649923896,0.0,2.895833373069763,1313.666666666667,3.3069180849239914,img02_20220429_ET358_56hpf_2.tif,2.0,2
20,20,10,2.318590902963279,91.59797974644664,36.93757414600136,15.931044195331408,0.6844697728619832,0.9232323232323232,0.9022102757593576,0.426471072856367,0.0,0.0,4.777777777777778,1.7345003646973014,0.0,1.5625000596046448,792.6666666666669,1.0294744851701525,img02_20220429_ET358_56hpf_2.tif,2.0,2
21,21,11,1.3245789756285562,29.556349186104043,11.042301536772165,8.33646142656932,1.035716232528903,0.96,0.6557744441494436,0.7518365074132948,0.0,0.0,2.6666666666666665,1.1496913580246912,0.2222222222222222,1.0208333730697632,82.77777777777774,0.3860753685349417,img02_20220429_ET358_56hpf_2.tif,0.0,2
30,30,5,1.0934640333114198,173.53910524340094,54.37563084697109,49.72786410020388,0.8750111489809784,0.9748953974895398,0.4045297895841535,0.9030253290426368,0.0,0.0,5.638888888888889,2.78862660944206,0.3611111111111111,2.974446654319763,5847.750000000001,1.058031293088818,img03_20220429_ET358_56hpf_3.tif,2.0,2
31,31,6,3.860132219609547,167.05382386916236,73.53527809333718,19.04993764715533,0.4822658307904779,0.9045608108108107,0.965861637079518,0.2521785313586707,0.0,0.0,2.833333333333333,1.3456271397447868,0.2777777777777778,1.3419596552848816,1441.1666666666674,0.1934696394999657,img03_20220429_ET358_56hpf_3.tif,2.0,2
52,52,27,3.8881523158422073,152.75230867899737,69.96686391535192,17.994887605167417,0.5154021621633171,0.9264278799612778,0.9663604379960378,0.248907074252046,0.0,0.0,3.4722222222222223,1.6681179612214094,0.2777777777777778,1.6463216543197632,1596.3888888888898,0.4109485475665363,img03_20220429_ET358_56hpf_3.tif,2.0,2
55,55,2,2.48100755443145,180.7106781186548,74.9422329494526,30.206370317411803,0.6726415040676632,0.9546695794647734,0.9151726508756652,0.396276472936208,0.0,0.0,4.217391304347826,1.6897821112327132,0.1739130434782608,1.65922212600708,2953.739130434779,0.3675630135590575,img05_20220513_ET358_56hpf_1.tif,2.0,2
68,68,15,2.6512179440926213,149.68124086713192,61.31266425825482,23.126225588081205,0.6007096175325546,0.9099405267629568,0.9261378803453776,0.3627431441712814,0.0,0.0,3.130434782608696,1.1977428652620468,0.1304347826086956,1.1823199391365051,1282.782608695651,0.1696823023092386,img05_20220513_ET358_56hpf_1.tif,2.0,2
79,79,7,1.250285895648442,62.90559159102153,20.85985352722213,16.68406690007767,0.8574229942655996,0.9246575342465754,0.600243831069535,0.7900441717978832,0.0,0.0,2.9672131147540983,1.266909532483303,0.3934426229508196,1.1348937153816223,342.0655737704916,0.2810778645139846,img06_20220513_ET358_56hpf_2.tif,0.0,2
87,87,15,2.40235979060009,189.82337649086287,76.39026546948422,31.79801200818573,0.6570393408940199,0.9524772497472194,0.9092468261757796,0.4110692385453418,0.0,0.0,2.377049180327869,1.1816939890710385,0.3770491803278688,1.183881938457489,2226.311475409834,0.0918208501084962,img06_20220513_ET358_56hpf_2.tif,2.0,2
101,101,29,2.890054330600967,111.39696961967,48.44872368269562,16.76394909594002,0.6359496818137451,0.9429429429429428,0.9382292547165147,0.3406474020353238,0.0,0.0,2.7540983606557377,1.3958964185026626,0.4426229508196721,1.4288230538368225,876.622950819672,0.1740566944439691,img06_20220513_ET358_56hpf_2.tif,2.0,2
104,104,32,3.19627253404159,98.08326112068522,43.75300013854216,13.688757661480706,0.5747417505298238,0.8678500986193294,0.9497977918504203,0.2926490504495143,0.0,0.0,2.1311475409836067,1.1544709388971683,0.4262295081967213,1.151223123073578,507.967213114754,0.1064581267357605,img06_20220513_ET358_56hpf_2.tif,0.0,2
110,110,3,1.3814389141983896,149.5391052434009,45.121397538232365,32.66260786088761,0.6327595361865072,0.9008,0.6899228615032554,0.7041795751120926,0.0,0.0,2.9545454545454546,1.2659252381721298,0.3181818181818182,1.2111594080924988,1425.4318181818194,0.2253416618143247,img08_20220513_ET358_56hpf_4.tif,0.0,2
112,112,5,1.419901996633646,184.50966799187808,63.29534098108231,44.5772603539858,0.8120715394099425,0.9561060408518036,0.709928300063578,0.6991805071100404,0.0,0.0,2.522727272727273,1.338595041322314,0.3636363636363636,1.346990406513214,2944.9090909090883,0.1308716567089289,img08_20220513_ET358_56hpf_4.tif,2.0,2
125,125,8,1.2670529077345891,31.556349186104043,11.453355531229352,9.039366439486122,1.0221658721171678,0.9418604651162792,0.6140938293621913,0.7861938698745949,0.0,0.0,2.5161290322580645,1.2887295898048587,0.3548387096774194,1.2451171875,104.38709677419357,0.2674662131781457,img10_20220513_ET358_56hpf_6.tif,0.0,2
