,Unnamed: 0,label,area,max_intensity,mean_intensity,min_intensity,solidity,minor_axis_length,eccentricity,aspect_ratio,roundness_skimage,circularity,median,sum,variance,number_of_pixels_on_border,perimeter_on_border_ratio,filename
0,0,1,1031,6.7,2.4125121241513097,0.0,0.9172597864768685,21.98882192124616,0.931903272776764,2.757047134912609,0.3571712369439772,0.5896893527734451,2.3009766340255737,2487.299999999995,1.715425819027646,0,0.0,img01_20220429_ET358_56hpf_1.tif
1,1,2,716,3.0,1.067877094972067,0.0,0.8374269005847953,16.007419469219194,0.9652691266913512,3.827640421484849,0.242838882207961,0.2986416278599896,0.9861328303813934,764.5999999999993,0.2657918506074976,0,0.0,img01_20220429_ET358_56hpf_1.tif
2,2,3,2629,11.0,2.7582731076454925,0.0,0.7388982574480045,61.31221548158982,0.4950867622857789,1.150955210490173,0.6721865824487687,0.3563948691680734,2.181445360183716,7251.500000000002,3.731876925383793,0,0.0,img01_20220429_ET358_56hpf_1.tif
3,3,4,51,2.6,1.23921568627451,0.2,0.9807692307692308,6.114710236363733,0.8281594845157472,1.7841451208985288,0.5455922321037713,0.973583547037986,1.2251953482627869,63.2,0.3096313725490194,10,0.3702916468685555,img01_20220429_ET358_56hpf_1.tif
4,4,5,61,2.6,0.9295081967213116,0.1,0.7261904761904762,6.594027452028285,0.8889102999225813,2.1830185972350566,0.3748207116883975,0.6821981751872706,0.806835949420929,56.70000000000002,0.2244480874316933,0,0.0,img01_20220429_ET358_56hpf_1.tif
5,5,6,2241,11.8,4.143418116912093,0.0,0.9203285420944558,37.82912921101714,0.870965290118536,2.0352317066588936,0.4813617381832308,0.6672089295930894,4.273242235183716,9285.39999999999,5.129368489832372,0,0.0,img01_20220429_ET358_56hpf_1.tif
6,6,7,895,8.3,3.069832402234637,0.0,0.965480043149946,27.86709270918408,0.7348052946010113,1.4743215239875582,0.6750958172250102,0.8445864137535779,2.8986328840255737,2747.5000000000023,3.161997175458956,0,0.0,img01_20220429_ET358_56hpf_1.tif
7,7,8,736,6.9,2.0634510869565217,0.0,0.832579185520362,30.742211599403568,0.4379409023456079,1.112342396166586,0.8013841290440702,0.5751386703617541,1.703320324420929,1518.6999999999994,1.7781861690328338,0,0.0,img01_20220429_ET358_56hpf_1.tif
8,8,9,122,4.2,1.3778688524590164,0.2,0.9242424242424242,11.70139673611772,0.4994468250106266,1.154275174790669,0.8514827026723281,0.932077420675863,1.2849609851837158,168.10000000000002,0.535125999187102,0,0.0,img01_20220429_ET358_56hpf_1.tif
9,9,10,60,1.9,0.8516666666666667,0.1,0.8450704225352113,6.52532888348145,0.8677672642613853,2.0121906598466843,0.4431168864145947,0.6600147972889556,0.806835949420929,51.1,0.1611836158192092,0,0.0,img01_20220429_ET358_56hpf_1.tif
10,10,11,2954,15.3,2.459749492213948,0.0,0.8022813688212928,43.160444166566045,0.9175834048575902,2.515449103280265,0.319093332812009,0.253205819256018,1.882617235183716,7266.100000000005,3.9498354942851943,0,0.0,img01_20220429_ET358_56hpf_1.tif
11,11,1,2145,7.444444444444445,1.9708365708365707,0.0,0.7973977695167286,49.56996851775811,0.647274576063606,1.311893620399578,0.6458072091026714,0.263550342927292,1.6458333730697632,4227.444444444448,1.6150107616110754,0,0.0,img02_20220429_ET358_56hpf_2.tif
12,12,2,1755,10.666666666666666,2.311047799936689,0.0,0.7503206498503634,38.390363531897854,0.8679010557786346,2.013137287289046,0.3741071463617307,0.3469883903297869,1.8958333730697632,4055.888888888886,2.719451830948657,0,0.0,img02_20220429_ET358_56hpf_2.tif
13,13,3,164,3.4444444444444446,1.1368563685636857,0.1111111111111111,0.8913043478260869,11.81036784920384,0.759482624198555,1.5372138207687749,0.6335174134158759,0.7783667898545522,1.1041666865348816,186.44444444444457,0.3934859593994703,0,0.0,img02_20220429_ET358_56hpf_2.tif
14,14,4,438,9.0,2.9992389649923896,0.0,0.9563318777292577,21.301246942575705,0.5897332612873618,1.2382396740658603,0.8016129875100114,0.9004317508264797,2.895833373069763,1313.666666666667,3.3069180849239914,0,0.0,img02_20220429_ET358_56hpf_2.tif
15,15,5,1994,8.777777777777779,1.9003120472528692,0.0,0.8385197645079899,37.7432921035246,0.8523823667285562,1.9123419933631849,0.4873316216523125,0.5051325839329687,1.5625000596046448,3789.22222222222,1.462426667861069,0,0.0,img02_20220429_ET358_56hpf_2.tif
16,16,6,182,5.555555555555555,1.9328449328449324,0.0,0.9238578680203046,11.978661856864528,0.7905550336109065,1.632943654296378,0.6056510812005432,0.8076857924485777,1.7708333730697632,351.77777777777777,1.5196450776561292,0,0.0,img02_20220429_ET358_56hpf_2.tif
17,17,7,184,3.6666666666666665,1.339371980676329,0.0,0.9019607843137256,10.777672198202849,0.8749612722948952,2.065292539084049,0.4728406966055826,0.7453168245460452,1.2291666865348816,246.4444444444445,0.4921713905241255,0,0.0,img02_20220429_ET358_56hpf_2.tif
18,18,8,625,5.0,1.1726222222222222,0.0,0.758495145631068,17.767135217321876,0.9384815585080092,2.8957862448757705,0.3006230793870535,0.3813857504006559,1.0208333730697632,732.8888888888894,0.4277946818613496,0,0.0,img02_20220429_ET358_56hpf_2.tif
19,19,9,183,3.111111111111111,1.0461445051608986,0.0,0.6559139784946236,13.947529158232944,0.8319098340370292,1.802091341376518,0.368818801615712,0.3674248778179257,1.0208333730697632,191.44444444444437,0.3016169555331667,0,0.0,img02_20220429_ET358_56hpf_2.tif
20,20,10,457,4.777777777777778,1.7345003646973014,0.0,0.9232323232323232,15.931044195331408,0.9022102757593576,2.318590902963279,0.426471072856367,0.6844697728619832,1.5625000596046448,792.6666666666669,1.0294744851701525,0,0.0,img02_20220429_ET358_56hpf_2.tif
21,21,11,72,2.6666666666666665,1.1496913580246912,0.2222222222222222,0.96,8.33646142656932,0.6557744441494436,1.3245789756285562,0.7518365074132948,1.035716232528903,1.0208333730697632,82.77777777777774,0.3860753685349417,0,0.0,img02_20220429_ET358_56hpf_2.tif
22,22,12,1751,8.444444444444445,1.9359730947395135,0.0,0.7403805496828753,32.300374635859754,0.927959617863998,2.6832616863227456,0.2967939792779198,0.2549642874571091,1.5625000596046448,3389.8888888888896,2.025464350429125,0,0.0,img02_20220429_ET358_56hpf_2.tif
23,23,13,223,3.0,1.0079720976581965,0.0,0.7585034013605442,14.142325933458228,0.8094040518014055,1.7028460598902195,0.489578705836909,0.3643092230995699,1.0208333730697632,224.7777777777777,0.2826633309941737,0,0.0,img02_20220429_ET358_56hpf_2.tif
24,24,14,2723,7.0,2.3780960541885987,0.0,0.8881278538812786,31.797390079355385,0.959179423643962,3.536090148859597,0.274238328939758,0.4629679029669546,2.2291667461395264,6475.555555555554,1.5982667866628557,0,0.0,img02_20220429_ET358_56hpf_2.tif
25,25,15,191,3.7777777777777777,1.3019197207678883,0.0,0.8603603603603603,10.194886698862163,0.9121493014132372,2.439868896998243,0.3930480963411273,0.6604427859749001,1.2291666865348816,248.66666666666688,0.5041411945609591,0,0.0,img02_20220429_ET358_56hpf_2.tif
26,26,1,846,2.9166666666666665,1.302469135802469,0.3333333333333333,0.7988668555240793,13.851757476776308,0.9867380400862532,6.160640136129863,0.1479173241004292,0.3315988583030247,1.2589518427848816,1101.8888888888885,0.2386821129698624,0,0.0,img03_20220429_ET358_56hpf_3.tif
27,27,2,1162,4.611111111111111,1.6811770893096192,0.3333333333333333,0.866517524235645,18.703809311771888,0.9755390935983516,4.5490521224160965,0.2043686558336797,0.4000410176366575,1.5356445908546448,1953.527777777775,0.7059008293220763,0,0.0,img03_20220429_ET358_56hpf_3.tif
28,28,3,90,1.3333333333333333,0.7932098765432097,0.3611111111111111,0.7563025210084033,9.035802462370606,0.7919673870582815,1.6378315669942152,0.5232156160192717,0.5021956745686778,0.7885742485523224,71.38888888888889,0.0347328185447204,0,0.0,img03_20220429_ET358_56hpf_3.tif
29,29,4,1428,2.2222222222222223,1.074910519763461,0.3055555555555556,0.9032258064516128,24.69262652678088,0.9452157137161804,3.063289986981444,0.3177807076475325,0.5191199462945202,1.0375977158546448,1534.9722222222226,0.1071312654007752,0,0.0,img03_20220429_ET358_56hpf_3.tif
30,30,5,2097,5.638888888888889,2.78862660944206,0.3611111111111111,0.9748953974895398,49.72786410020388,0.4045297895841535,1.0934640333114198,0.9030253290426368,0.8750111489809784,2.974446654319763,5847.750000000001,1.058031293088818,0,0.0,img03_20220429_ET358_56hpf_3.tif
